"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2025","69.83","68.77","70.28","68.72","0.44K","1.06%"
"04/12/2025","69.10","71.39","71.50","69.02","1.04K","-4.25%"
"03/12/2025","72.16","71.75","72.35","71.64","0.33K","-0.03%"
"02/12/2025","72.18","71.98","72.64","70.89","1.17K","-0.69%"
"01/12/2025","72.68","73.03","73.40","71.76","0.63K","-1.86%"
"28/11/2025","74.06","75.45","76.25","73.88","0.60K","-1.36%"
"27/11/2025","75.08","75.50","75.50","74.65","0.61K","-1.18%"
"26/11/2025","75.98","76.35","76.54","75.74","0.81K","-0.60%"
"25/11/2025","76.43","77.00","77.37","75.77","0.36K","-1.25%"
"24/11/2025","77.40","77.90","77.90","76.21","0.78K","-1.44%"
"21/11/2025","78.53","79.65","79.95","78.40","0.57K","-3.33%"
"20/11/2025","81.24","81.30","81.60","80.60","0.49K","0.09%"
"19/11/2025","81.16","82.15","82.15","80.67","1.40K","-2.28%"
"18/11/2025","83.06","82.90","83.88","82.38","1.05K","0.95%"
"17/11/2025","82.28","82.75","83.00","82.00","1.27K","-0.05%"
"14/11/2025","82.32","80.93","82.48","80.54","1.06K","2.43%"
"13/11/2025","80.36","81.60","81.60","80.00","1.04K","-1.42%"
"12/11/2025","81.52","82.40","82.90","81.30","1.11K","-0.24%"
"11/11/2025","81.71","81.00","81.90","80.93","1.14K","0.39%"
"10/11/2025","81.40","81.48","82.25","80.85","0.98K","-0.66%"
"07/11/2025","81.94","82.85","82.85","81.70","1.25K","-0.95%"
"06/11/2025","82.73","82.80","83.33","82.64","1.35K","-0.97%"
"05/11/2025","83.54","83.30","83.93","83.20","1.10K","-1.85%"
"04/11/2025","85.11","83.24","85.15","83.24","1.71K","2.82%"
"03/11/2025","82.78","82.80","83.35","82.25","0.91K","1.53%"
"31/10/2025","81.53","82.70","82.75","81.40","1.11K","-0.93%"
"30/10/2025","82.29","83.25","83.97","82.23","1.14K","-1.90%"
"29/10/2025","83.89","83.40","84.10","82.91","0.94K","1.37%"
"28/10/2025","82.75","81.89","83.31","81.85","0.96K","1.00%"
"27/10/2025","81.94","83.15","83.30","81.65","1.32K","-2.19%"
"24/10/2025","83.77","83.50","83.91","83.30","0.69K","-1.14%"
"23/10/2025","84.73","83.61","85.26","83.61","0.87K","2.40%"
"22/10/2025","82.75","83.41","84.11","82.50","1.53K","-0.95%"
"21/10/2025","83.54","81.93","83.86","81.93","1.38K","1.22%"
"20/10/2025","82.53","82.35","83.05","82.10","0.97K","-0.75%"
"17/10/2025","83.15","83.50","84.20","83.15","0.96K","-1.36%"
"16/10/2025","84.29","83.99","85.15","83.70","1.57K","1.19%"
"15/10/2025","83.30","83.36","83.89","82.60","1.92K","-0.61%"
"14/10/2025","83.81","82.25","83.97","82.25","1.08K","0.91%"
"13/10/2025","83.06","84.10","84.10","82.94","1.04K","-2.25%"
"10/10/2025","84.97","84.92","85.30","84.43","1.62K","-0.56%"
"09/10/2025","85.45","85.25","85.90","84.89","0.84K","-0.71%"
"08/10/2025","86.06","86.70","86.70","85.70","0.99K","-1.48%"
"07/10/2025","87.36","88.10","88.41","87.00","1.07K","-0.03%"
"06/10/2025","87.38","85.80","87.71","85.80","1.48K","4.21%"
"03/10/2025","83.85","83.38","84.51","83.17","0.90K","-0.18%"
"02/10/2025","84.00","84.05","84.19","83.00","2.70K","0.49%"
"01/10/2025","83.59","84.00","84.30","82.45","1.21K","-0.75%"
"30/09/2025","84.23","86.61","86.80","84.15","1.21K","1.06%"
"29/09/2025","83.35","83.90","84.30","83.90","0.04K","-1.90%"
"26/09/2025","84.96","84.61","85.10","84.29","0.42K","0.57%"
"25/09/2025","84.48","83.66","84.83","83.65","0.27K","1.65%"
"24/09/2025","83.11","83.40","84.01","83.01","0.43K","-1.05%"
"23/09/2025","83.99","83.35","84.40","83.06","0.55K","1.36%"
"22/09/2025","82.86","83.97","83.97","82.80","0.32K","-1.46%"
"19/09/2025","84.09","85.15","85.80","83.70","0.93K","-1.48%"
"18/09/2025","85.35","84.45","85.70","84.18","0.45K","1.73%"
"17/09/2025","83.90","84.89","84.91","83.71","0.25K","0.08%"
"16/09/2025","83.83","82.10","84.00","82.00","0.45K","0.84%"
"15/09/2025","83.14","84.00","84.00","82.51","0.97K","-1.52%"
"12/09/2025","84.42","83.54","85.25","82.97","0.35K","1.08%"
